"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2020","155.43","157.20","157.37","155.32","17.05M","-1.08%"
"Aug 30, 2020","157.12","157.12","157.12","157.12","-","0.00%"
"Aug 28, 2020","157.12","156.60","157.20","155.73","12.37M","0.85%"
"Aug 27, 2020","155.80","156.12","156.97","154.64","17.51M","0.24%"
"Aug 26, 2020","155.42","156.37","156.77","155.19","13.77M","-0.63%"
"Aug 25, 2020","156.40","156.69","156.74","154.80","16.27M","0.11%"
"Aug 24, 2020","156.23","155.83","156.23","154.34","13.71M","1.05%"
"Aug 23, 2020","154.61","154.61","154.61","154.61","-","0.00%"
"Aug 22, 2020","154.61","154.61","154.61","154.61","-","0.00%"
"Aug 21, 2020","154.61","155.11","155.62","153.61","20.69M","-0.74%"
"Aug 20, 2020","155.76","154.75","156.48","154.56","15.41M","-0.41%"
"Aug 19, 2020","156.40","156.92","158.04","156.21","14.34M","0.01%"
"Aug 18, 2020","156.39","157.81","157.81","155.71","14.65M","-0.96%"
"Aug 17, 2020","157.90","157.52","158.02","156.74","9.74M","0.52%"
"Aug 14, 2020","157.09","156.28","157.76","155.87","13.36M","-0.06%"
"Aug 13, 2020","157.19","157.13","158.52","156.66","15.80M","-0.21%"
"Aug 12, 2020","157.52","158.63","158.87","156.51","23.40M","0.41%"
"Aug 11, 2020","156.88","159.31","159.80","156.17","30.36M","-0.58%"
"Aug 10, 2020","157.79","156.68","158.80","156.68","24.00M","1.04%"
"Aug 09, 2020","156.17","156.17","156.17","156.17","-","0.00%"
"Aug 08, 2020","156.17","156.17","156.17","156.17","-","0.00%"
"Aug 07, 2020","156.17","153.36","156.17","153.17","20.48M","1.59%"
"Aug 06, 2020","153.73","153.76","154.43","152.91","18.24M","-0.04%"
"Aug 05, 2020","153.79","152.25","153.89","151.80","18.53M","1.99%"
"Aug 04, 2020","150.79","149.50","150.92","149.05","20.28M","0.69%"
"Aug 03, 2020","149.76","148.29","149.97","147.27","20.78M","1.63%"
"Aug 02, 2020","147.36","147.36","147.36","147.36","-","0.00%"
"Jul 31, 2020","147.36","148.14","148.42","144.67","29.94M","-0.94%"
"Jul 30, 2020","148.76","147.03","149.12","146.34","23.62M","-0.40%"
"Jul 29, 2020","149.35","147.00","149.45","146.98","19.86M","2.20%"
"Jul 28, 2020","146.13","147.60","148.04","146.06","13.27M","-1.00%"
"Jul 27, 2020","147.60","146.08","147.68","145.41","13.37M","1.04%"
"Jul 26, 2020","146.08","146.08","146.08","146.08","-","0.00%"
"Jul 25, 2020","146.08","146.08","146.08","146.08","-","0.00%"
"Jul 24, 2020","146.08","147.23","147.61","145.58","20.02M","-1.47%"
"Jul 23, 2020","148.26","147.86","150.18","146.70","21.70M","0.10%"
"Jul 22, 2020","148.11","147.11","148.66","147.06","24.42M","0.05%"
"Jul 21, 2020","148.03","147.29","149.13","147.22","24.54M","1.42%"
"Jul 20, 2020","145.96","146.54","146.71","145.16","19.66M","-0.43%"
"Jul 17, 2020","146.59","146.68","147.59","145.51","20.64M","0.29%"
"Jul 16, 2020","146.16","146.10","146.66","144.88","30.53M","-0.59%"
"Jul 15, 2020","147.03","145.39","147.76","144.81","40.77M","3.67%"
"Jul 14, 2020","141.83","139.46","141.96","138.66","28.11M","1.66%"
"Jul 13, 2020","139.52","142.91","144.64","139.40","34.24M","-1.27%"
"Jul 12, 2020","141.31","141.31","141.31","141.31","-","0.00%"
"Jul 11, 2020","141.31","141.31","141.31","141.31","-","0.00%"
"Jul 10, 2020","141.31","139.34","141.50","138.46","24.01M","1.61%"
"Jul 09, 2020","139.07","142.23","142.28","137.30","34.65M","-2.02%"
"Jul 08, 2020","141.94","140.77","142.49","139.11","27.36M","0.75%"
"Jul 07, 2020","140.89","142.18","143.43","140.48","22.66M","-1.77%"
"Jul 06, 2020","143.43","145.30","145.50","142.93","19.86M","0.72%"
"Jul 05, 2020","142.40","142.40","142.40","142.40","-","0.00%"
"Jul 04, 2020","142.40","142.40","142.40","142.40","-","0.00%"
"Jul 02, 2020","142.40","144.58","145.26","141.92","24.02M","0.41%"
"Jul 01, 2020","141.82","143.50","144.47","141.26","26.46M","-0.95%"
"Jun 30, 2020","143.18","140.62","143.58","140.62","32.87M","1.45%"
"Jun 29, 2020","141.14","138.62","141.96","137.14","33.94M","3.27%"
"Jun 26, 2020","136.67","139.48","139.83","136.49","39.10M","-2.69%"
"Jun 25, 2020","140.45","137.36","140.55","136.38","37.19M","1.51%"
"Jun 24, 2020","138.36","141.01","141.53","136.32","43.00M","-3.24%"
"Jun 23, 2020","143.00","144.27","144.65","142.65","20.34M","0.42%"
"Jun 22, 2020","142.40","140.07","142.54","138.88","28.98M","1.00%"
"Jun 19, 2020","140.99","144.47","144.47","139.85","50.29M","-0.52%"
"Jun 18, 2020","141.72","140.40","143.29","139.89","26.97M","-0.04%"
"Jun 17, 2020","141.77","144.56","144.98","141.33","34.81M","-1.81%"
"Jun 16, 2020","144.38","146.55","146.55","141.13","48.96M","2.40%"
"Jun 15, 2020","140.99","133.39","142.03","133.39","57.35M","1.97%"
"Jun 12, 2020","138.27","140.33","141.02","134.15","63.86M","2.40%"
"Jun 11, 2020","135.03","139.67","141.02","134.83","72.04M","-7.63%"
"Jun 10, 2020","146.18","149.96","150.22","145.91","51.77M","-2.72%"
"Jun 09, 2020","150.26","150.77","151.77","149.07","39.65M","-1.85%"
"Jun 08, 2020","153.09","152.40","153.38","151.64","33.83M","1.94%"
"Jun 07, 2020","150.18","150.18","150.18","150.18","-","0.00%"
"Jun 05, 2020","150.18","150.86","152.32","149.55","53.51M","3.87%"
"Jun 04, 2020","144.59","143.80","145.59","143.19","28.90M","-0.15%"
"Jun 03, 2020","144.80","143.72","146.06","143.11","36.11M","2.41%"
"Jun 02, 2020","141.39","141.16","141.85","139.57","24.67M","0.83%"
"Jun 01, 2020","140.23","139.26","141.67","138.61","25.66M","0.96%"
"May 29, 2020","138.90","138.30","139.28","136.41","41.63M","-0.57%"
"May 28, 2020","139.70","144.70","144.70","139.00","42.16M","-2.37%"
"May 27, 2020","143.09","141.51","143.49","137.34","42.68M","3.11%"
"May 26, 2020","138.78","140.09","140.34","138.47","36.97M","2.88%"
"May 22, 2020","134.89","134.67","135.05","133.02","24.04M","0.48%"
"May 21, 2020","134.24","134.00","135.02","132.60","32.72M","0.18%"
"May 20, 2020","134.00","132.75","134.98","132.47","35.90M","3.03%"
"May 19, 2020","130.06","132.17","133.44","130.06","30.27M","-1.97%"
"May 18, 2020","132.68","130.97","133.31","130.84","47.08M","6.08%"
"May 15, 2020","125.08","122.23","125.53","121.50","40.24M","1.59%"
"May 14, 2020","123.12","119.85","123.25","117.20","55.90M","0.33%"
"May 13, 2020","122.72","125.76","126.07","120.44","58.72M","-3.35%"
"May 12, 2020","126.97","132.26","132.29","126.84","44.28M","-3.59%"
"May 11, 2020","131.70","130.41","132.95","129.33","33.98M","-0.50%"
"May 10, 2020","132.36","132.36","132.36","132.36","-","0.00%"
"May 09, 2020","132.36","132.36","132.36","132.36","-","0.00%"
"May 08, 2020","132.36","130.16","132.75","129.19","32.16M","3.86%"
"May 07, 2020","127.44","127.39","128.50","126.55","27.49M","1.37%"
"May 06, 2020","125.72","127.49","128.20","125.00","29.84M","-0.73%"
"May 05, 2020","126.65","128.07","129.92","126.10","31.21M","0.77%"
"May 04, 2020","125.68","123.60","125.90","122.25","28.50M","0.43%"
"May 03, 2020","125.14","125.14","125.14","125.14","-","0.00%"
"May 02, 2020","125.14","125.14","125.14","125.14","-","0.00%"
"May 01, 2020","125.14","127.15","127.46","123.29","43.35M","-3.97%"
"Apr 30, 2020","130.31","131.90","132.94","130.14","43.73M","-3.80%"
"Apr 29, 2020","135.46","133.49","136.85","131.88","50.39M","4.92%"
"Apr 28, 2020","129.11","131.12","131.46","127.28","47.29M","1.45%"
"Apr 27, 2020","127.26","123.95","128.44","123.86","39.02M","3.96%"
"Apr 24, 2020","122.41","121.53","123.32","120.09","27.16M","1.72%"
"Apr 23, 2020","120.34","120.11","122.90","119.68","38.57M","0.98%"
"Apr 22, 2020","119.17","120.32","120.99","118.77","24.41M","1.21%"
"Apr 21, 2020","117.74","117.42","119.24","116.48","31.61M","-2.39%"
"Apr 20, 2020","120.62","119.59","122.90","119.04","36.70M","-1.18%"
"Apr 17, 2020","122.06","121.90","122.72","120.06","46.25M","4.41%"
"Apr 16, 2020","116.91","118.09","118.42","114.56","49.50M","-0.76%"
"Apr 15, 2020","117.80","117.86","119.11","116.66","34.81M","-4.08%"
"Apr 14, 2020","122.81","123.90","124.88","121.30","35.09M","2.03%"
"Apr 13, 2020","120.37","122.85","123.51","119.11","40.20M","-2.71%"
"Apr 09, 2020","123.72","121.92","124.61","121.32","69.67M","4.79%"
"Apr 08, 2020","118.07","114.88","119.24","113.29","52.82M","4.56%"
"Apr 07, 2020","112.92","116.88","118.64","112.39","57.55M","0.26%"
"Apr 06, 2020","112.63","109.09","113.34","109.02","48.71M","7.66%"
"Apr 03, 2020","104.62","106.59","108.00","102.60","42.19M","-2.83%"
"Apr 02, 2020","107.67","105.72","110.39","104.57","43.77M","0.95%"
"Apr 01, 2020","106.66","108.70","110.38","105.53","54.22M","-6.81%"
"Mar 31, 2020","114.46","114.60","116.17","111.96","52.95M","-0.50%"
"Mar 30, 2020","115.04","113.24","115.26","110.80","41.55M","2.20%"
"Mar 28, 2020","112.56","112.56","112.56","112.56","-","0.00%"
"Mar 27, 2020","112.56","112.25","116.02","110.87","39.69M","-3.64%"
"Mar 26, 2020","116.81","111.54","117.60","111.20","50.59M","6.22%"
"Mar 25, 2020","109.97","109.48","114.00","106.02","55.41M","0.85%"
"Mar 24, 2020","109.04","105.37","109.33","99.93","71.00M","9.15%"
"Mar 23, 2020","99.90","101.90","102.18","95.91","62.84M","-1.48%"
"Mar 21, 2020","101.40","101.40","101.40","101.40","-","0.00%"
"Mar 20, 2020","101.40","106.12","108.76","100.45","73.67M","-2.38%"
"Mar 19, 2020","103.87","99.66","106.80","95.69","61.30M","3.90%"
"Mar 18, 2020","99.97","103.05","106.78","96.25","60.67M","-7.75%"
"Mar 17, 2020","108.37","104.96","110.50","100.61","59.34M","4.58%"
"Mar 16, 2020","103.62","108.62","111.30","101.43","59.10M","-13.27%"
"Mar 14, 2020","119.47","119.47","119.47","119.47","-","0.00%"
"Mar 13, 2020","119.47","118.31","119.96","109.55","57.92M","6.70%"
"Mar 12, 2020","111.97","116.77","119.90","111.60","70.11M","-11.05%"
"Mar 11, 2020","125.88","130.92","132.27","124.17","51.52M","-6.36%"
"Mar 10, 2020","134.43","134.71","134.80","128.02","54.43M","3.12%"
"Mar 09, 2020","130.36","134.13","136.17","130.26","56.32M","-9.72%"
"Mar 06, 2020","144.40","142.71","145.98","140.99","39.69M","-1.98%"
"Mar 05, 2020","147.32","148.84","152.48","145.49","32.73M","-3.18%"
"Mar 04, 2020","152.16","150.28","152.45","148.52","36.20M","2.85%"
"Mar 03, 2020","147.95","151.09","154.20","146.31","42.94M","-2.04%"
"Mar 02, 2020","151.03","147.97","151.23","145.39","33.57M","3.21%"
"Feb 28, 2020","146.33","144.85","149.13","143.91","72.76M","-1.83%"
"Feb 27, 2020","149.06","151.35","155.01","148.81","50.53M","-3.52%"
"Feb 26, 2020","154.50","157.05","158.49","154.22","39.59M","-1.16%"
"Feb 25, 2020","156.31","162.52","162.76","155.96","45.05M","-3.55%"
"Feb 24, 2020","162.07","161.86","167.06","161.09","28.24M","-3.01%"
"Feb 21, 2020","167.10","168.15","168.63","166.33","18.73M","-1.01%"
"Feb 20, 2020","168.81","167.90","169.10","166.59","20.38M","0.24%"
"Feb 19, 2020","168.40","168.17","169.14","167.53","11.08M","0.51%"
"Feb 18, 2020","167.54","167.50","168.06","166.43","13.42M","-0.21%"
"Feb 17, 2020","167.90","167.90","167.90","167.90","-","0.00%"
"Feb 14, 2020","167.90","168.70","168.78","167.34","16.01M","-0.39%"
"Feb 13, 2020","168.55","167.22","168.95","167.11","12.65M","0.26%"
"Feb 12, 2020","168.11","168.02","168.29","167.28","12.12M","0.69%"
"Feb 11, 2020","166.96","166.79","167.96","166.27","15.01M","0.69%"
"Feb 10, 2020","165.81","164.56","165.89","164.46","11.43M","0.56%"
"Feb 07, 2020","164.88","166.29","166.36","164.40","18.03M","-1.23%"
"Feb 06, 2020","166.93","167.89","168.15","166.76","14.77M","-0.23%"
"Feb 05, 2020","167.31","166.48","167.53","165.69","17.81M","1.54%"
"Feb 04, 2020","164.77","164.31","165.31","164.16","15.99M","1.51%"
"Feb 03, 2020","162.32","161.60","162.93","161.49","17.40M","1.12%"
"Jan 31, 2020","160.53","163.32","163.92","160.03","30.44M","-2.07%"
"Jan 30, 2020","163.93","162.84","164.13","161.93","21.89M","0.00%"
"Jan 29, 2020","163.93","165.10","165.56","163.90","14.97M","-0.57%"
"Jan 28, 2020","164.87","164.50","165.40","163.49","16.69M","0.83%"
"Jan 27, 2020","163.51","162.85","164.49","162.42","18.54M","-1.14%"
"Jan 24, 2020","165.39","168.01","168.01","164.23","20.49M","-1.23%"
"Jan 23, 2020","167.45","167.10","167.97","165.45","15.95M","-0.07%"
"Jan 22, 2020","167.56","168.19","168.62","167.18","14.92M","-0.07%"
"Jan 21, 2020","167.67","168.36","168.99","167.27","17.94M","-0.83%"
"Jan 17, 2020","169.07","170.28","170.56","168.67","18.31M","-0.27%"
"Jan 16, 2020","169.53","168.59","169.87","168.43","19.98M","1.29%"
"Jan 15, 2020","167.37","166.15","167.95","166.14","15.44M","0.48%"
"Jan 14, 2020","166.57","165.14","167.59","164.98","18.35M","0.37%"
"Jan 13, 2020","165.96","164.94","166.04","164.07","17.28M","0.65%"
"Jan 10, 2020","164.89","165.55","165.69","164.20","15.36M","-0.37%"
"Jan 09, 2020","165.51","166.12","166.45","165.26","11.91M","0.12%"
"Jan 08, 2020","165.31","164.82","166.03","164.72","13.84M","0.31%"
"Jan 07, 2020","164.80","164.85","165.34","164.21","11.95M","-0.33%"
"Jan 06, 2020","165.35","163.85","165.54","163.54","17.18M","0.13%"
"Jan 03, 2020","165.13","163.74","165.41","163.70","19.31M","-0.39%"
"Jan 02, 2020","165.78","166.74","166.75","164.23","18.30M","0.07%"
