"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2020","42.84","43.47","43.64","42.82","29.01M","-2.44%"
"Feb 19, 2020","43.91","43.57","43.92","43.55","16.10M","1.36%"
"Feb 18, 2020","43.32","43.30","43.43","42.94","20.30M","-1.23%"
"Feb 17, 2020","43.86","43.86","43.86","43.86","-","0.00%"
"Feb 14, 2020","43.86","44.15","44.15","43.58","19.21M","0.44%"
"Feb 13, 2020","43.67","43.96","44.10","43.60","22.24M","-1.00%"
"Feb 12, 2020","44.11","44.04","44.67","43.83","23.32M","0.46%"
"Feb 11, 2020","43.91","43.64","44.00","43.55","28.92M","2.14%"
"Feb 10, 2020","42.99","43.16","43.23","42.69","32.52M","-0.90%"
"Feb 07, 2020","43.38","43.86","43.91","43.34","26.13M","-1.79%"
"Feb 06, 2020","44.17","45.50","45.50","44.01","30.89M","-1.82%"
"Feb 05, 2020","44.99","45.52","45.64","44.88","25.67M","0.60%"
"Feb 04, 2020","44.72","45.02","45.22","44.59","24.42M","0.65%"
"Feb 03, 2020","44.43","44.19","44.81","44.18","21.87M","1.53%"
"Jan 31, 2020","43.76","43.98","44.13","43.45","32.58M","-2.34%"
"Jan 30, 2020","44.81","44.00","44.86","43.59","33.37M","-0.33%"
"Jan 29, 2020","44.96","45.63","45.74","44.94","20.13M","-1.77%"
"Jan 28, 2020","45.77","45.32","45.85","45.02","19.27M","2.28%"
"Jan 27, 2020","44.75","45.04","45.29","44.73","33.51M","-3.74%"
"Jan 24, 2020","46.49","46.87","46.97","46.30","17.43M","-1.21%"
"Jan 23, 2020","47.06","46.26","47.19","46.01","20.86M","1.18%"
"Jan 22, 2020","46.51","46.26","46.52","46.10","17.76M","1.84%"
"Jan 21, 2020","45.67","46.46","46.49","45.65","24.65M","-2.33%"
"Jan 17, 2020","46.76","46.49","46.84","46.10","30.37M","1.92%"
"Jan 16, 2020","45.88","46.09","46.20","45.45","21.05M","0.28%"
"Jan 15, 2020","45.75","46.35","46.43","45.74","24.45M","-2.29%"
"Jan 14, 2020","46.82","46.67","46.89","46.41","15.60M","0.32%"
"Jan 13, 2020","46.67","46.36","46.81","46.33","16.50M","0.86%"
"Jan 10, 2020","46.27","47.07","47.30","46.20","21.49M","-0.81%"
"Jan 09, 2020","46.65","46.83","47.00","46.47","21.39M","-0.77%"
"Jan 08, 2020","47.01","47.02","47.56","46.76","20.01M","-0.44%"
"Jan 07, 2020","47.22","46.78","47.43","46.64","16.94M","-0.06%"
"Jan 06, 2020","47.25","47.26","47.79","47.18","29.15M","-1.54%"
"Jan 03, 2020","47.99","47.84","48.27","47.78","25.87M","-0.87%"
"Jan 02, 2020","48.41","47.76","48.48","47.72","33.40M","2.02%"
