"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2020","84.64","84.64","84.64","84.64","-","0.00%"
"Feb 14, 2020","84.64","84.73","84.89","84.30","5.32M","-0.13%"
"Feb 13, 2020","84.75","84.79","85.11","84.46","8.23M","-0.56%"
"Feb 12, 2020","85.23","84.90","85.33","84.69","7.81M","0.94%"
"Feb 11, 2020","84.44","84.55","84.84","84.23","6.29M","0.38%"
"Feb 10, 2020","84.12","83.52","84.14","83.42","8.07M","0.56%"
"Feb 07, 2020","83.65","83.94","84.15","83.58","12.39M","-0.72%"
"Feb 06, 2020","84.26","84.33","84.40","83.72","8.63M","0.32%"
"Feb 05, 2020","83.99","83.54","84.00","83.11","12.84M","1.67%"
"Feb 04, 2020","82.61","82.32","82.81","82.24","13.60M","1.89%"
"Feb 03, 2020","81.08","81.55","82.23","80.99","15.68M","-0.04%"
"Jan 31, 2020","81.11","82.58","82.70","80.80","19.08M","-2.31%"
"Jan 30, 2020","83.03","82.14","83.12","81.97","13.16M","0.11%"
"Jan 29, 2020","82.94","83.33","83.57","82.85","10.36M","0.53%"
"Jan 28, 2020","82.50","82.24","82.91","81.86","14.92M","0.65%"
"Jan 27, 2020","81.97","82.06","82.52","81.97","15.01M","-1.89%"
"Jan 24, 2020","83.55","84.10","84.17","82.93","13.40M","-0.46%"
"Jan 23, 2020","83.94","82.93","84.05","82.63","10.76M","1.08%"
"Jan 22, 2020","83.04","83.71","83.90","82.98","7.49M","-0.53%"
"Jan 21, 2020","83.48","84.03","84.27","83.11","13.00M","-1.10%"
"Jan 17, 2020","84.41","84.46","84.81","84.30","7.01M","0.01%"
"Jan 16, 2020","84.40","84.00","84.44","83.93","9.49M","0.99%"
"Jan 15, 2020","83.57","83.45","83.92","83.38","12.01M","0.16%"
"Jan 14, 2020","83.44","83.48","83.98","83.33","9.65M","0.01%"
"Jan 13, 2020","83.43","83.01","83.52","82.85","7.89M","0.82%"
"Jan 10, 2020","82.75","83.51","83.51","82.61","8.86M","-0.71%"
"Jan 09, 2020","83.34","83.34","83.43","83.08","7.41M","0.42%"
"Jan 08, 2020","82.99","82.77","83.36","82.63","10.68M","0.34%"
"Jan 07, 2020","82.71","82.57","83.02","82.29","16.69M","-0.21%"
"Jan 06, 2020","82.88","82.46","82.89","82.27","16.15M","0.04%"
"Jan 03, 2020","82.85","82.06","82.95","81.99","17.57M","-0.19%"
"Jan 02, 2020","83.01","82.05","83.01","81.83","16.06M","1.89%"
