Date,MSFT,AAPL,AMZN,FB,JPM,GOOGL
2007-01-03,22.070343017578125,2.58624529838562,38.70000076293945,,33.594017028808594,234.02902221679688
2007-01-04,22.03338050842285,2.6436493396759033,38.900001525878906,,33.67787551879883,241.8718719482422
2007-01-05,21.907724380493164,2.6248233318328857,38.369998931884766,,33.39832305908203,243.83883666992188
2007-01-08,22.122072219848633,2.637784719467163,37.5,,33.5101432800293,242.0320281982422
2007-01-09,22.14425277709961,2.8569066524505615,37.779998779296875,,33.37037658691406,242.9929962158203
2007-01-10,21.922513961791992,2.9936254024505615,37.150001525878906,,33.61497116088867,244.9749755859375
2007-01-11,22.69120216369629,2.956590414047241,37.400001525878906,,33.761749267578125,250.110107421875
2007-01-12,23.068159103393555,2.920173168182373,38.20000076293945,,33.53812026977539,252.75274658203125
2007-01-16,23.031206130981445,2.996711254119873,38.65999984741211,,33.817649841308594,252.39239501953125
2007-01-17,22.986848831176758,2.9303572177886963,37.880001068115234,,33.84559631347656,248.88888549804688
2007-01-18,22.912939071655273,2.7488880157470703,36.97999954223633,,33.64992904663086,244.15916442871094
2007-01-19,22.994247436523438,2.731297254562378,37.02000045776367,,34.07622146606445,245.1201171875
2007-01-22,22.70598602294922,2.6785225868225098,36.95000076293945,,34.705204010009766,240.66065979003906
2007-01-23,22.720775604248047,2.644883871078491,36.43000030517578,,34.82400894165039,239.7647705078125
2007-01-24,22.979463577270508,2.6757452487945557,37.2599983215332,,35.19438552856445,249.7847900390625
2007-01-25,22.50642967224121,2.6618568897247314,37.08000183105469,,35.08956527709961,244.28929138183594
2007-01-26,22.617294311523438,2.635006904602051,36.849998474121094,,34.73316192626953,248.1681671142578
2007-01-29,22.565553665161133,2.652289867401123,37.43000030517578,,34.572410583496094,246.48147583007812
2007-01-30,22.528589248657227,2.640253782272339,37.04999923706055,,35.06859588623047,247.40740966796875
2007-01-31,22.809457778930664,2.645808696746826,37.66999816894531,,35.59273910522461,251.00100708007812
2007-02-01,22.587732315063477,2.615255117416382,38.70000076293945,,35.788421630859375,241.11611938476562
2007-02-02,22.31424903869629,2.6155643463134766,37.38999938964844,,35.59273910522461,240.99099731445312
2007-02-05,21.885560989379883,2.5905659198760986,37.15999984741211,,35.613712310791016,233.81381225585938
2007-02-06,21.8116455078125,2.5970473289489746,38.27000045776367,,35.641666412353516,235.97598266601562
2007-02-07,21.708162307739258,2.658770799636841,38.97999954223633,,35.788421630859375,235.240234375
2007-02-08,21.626861572265625,2.6596972942352295,39.099998474121094,,35.59273910522461,235.75074768066406
2007-02-09,21.419902801513672,2.569888114929199,38.720001220703125,,35.23631286621094,231.17617797851562
2007-02-12,21.390342712402344,2.6195759773254395,38.849998474121094,,35.250308990478516,229.37437438964844
2007-02-13,21.51642608642578,2.614020824432373,39.310001373291016,,35.606719970703125,229.77978515625
2007-02-14,21.805679321289062,2.6325390338897705,40.13999938964844,,35.9351692199707,233.1981964111328
2007-02-15,21.850187301635742,2.6297597885131836,40.060001373291016,,35.788421630859375,230.96597290039062
2007-02-16,21.316171646118164,2.6180341243743896,40.33000183105469,,35.81637191772461,235.2052001953125
2007-02-20,21.38292121887207,2.6510555744171143,41.5099983215332,,36.081932067871094,236.28628540039062
2007-02-21,21.768600463867188,2.7529001235961914,41.2599983215332,,36.095909118652344,238.1681671142578
2007-02-22,21.79827308654785,2.762467384338379,41.0,,36.088932037353516,238.1631622314453
2007-02-23,21.434837341308594,2.7488880157470703,40.779998779296875,,35.662635803222656,235.54554748535156
2007-02-26,21.560930252075195,2.7316060066223145,40.880001068115234,,35.50886917114258,232.69769287109375
2007-02-27,20.6708984375,2.590257167816162,38.83000183105469,,34.39768981933594,224.60960388183594
2007-02-28,20.893407821655273,2.611243724822998,39.13999938964844,,34.516502380371094,224.949951171875
2007-03-01,20.834077835083008,2.6868553161621094,38.849998474121094,,34.38372039794922,224.33934020996094
2007-03-02,20.58932113647461,2.6359333992004395,37.689998626708984,,33.67787551879883,219.55955505371094
2007-03-05,20.433563232421875,2.66401743888855,37.04999923706055,,33.2236328125,220.69569396972656
2007-03-06,20.641233444213867,2.7217304706573486,38.58000183105469,,33.90849304199219,229.00399780273438
2007-03-07,20.478065490722656,2.7072255611419678,38.36000061035156,,33.796688079833984,228.0480499267578
2007-03-08,20.26297378540039,2.7158660888671875,38.099998474121094,,34.062259674072266,227.58758544921875
2007-03-09,20.240718841552734,2.714939832687378,38.84000015258789,,34.1181640625,226.7067108154297
2007-03-12,20.351972579956055,2.773578643798828,38.810001373291016,,34.132137298583984,227.60260009765625
2007-03-13,19.817964553833008,2.728210687637329,37.81999969482422,,32.63658142089844,221.7367401123047
2007-03-14,20.322307586669922,2.777589797973633,38.08000183105469,,33.05588912963867,224.22422790527344
2007-03-15,20.233308792114258,2.764320135116577,37.779998779296875,,33.33543014526367,223.3183135986328
2007-03-16,20.2703914642334,2.7649364471435547,37.849998474121094,,32.86720657348633,220.64564514160156
2007-03-19,20.641233444213867,2.812464714050293,38.45000076293945,,33.251583099365234,223.83883666992188
2007-03-20,20.648649215698242,2.82326602935791,38.58000183105469,,33.37037658691406,222.8628692626953
2007-03-21,21.153003692626953,2.897026538848877,39.79999923706055,,34.27889633178711,228.50350952148438
2007-03-22,20.967573165893555,2.8998045921325684,39.4900016784668,,33.873558044433594,231.25125122070312
2007-03-23,20.782150268554688,2.8862249851226807,38.97999954223633,,33.90849304199219,231.14614868164062
2007-03-26,20.930492401123047,2.958134174346924,39.0099983215332,,34.0343017578125,232.73272705078125
