Date,DFEN,DIA,EEM,EFA,EWG,EWH,EWJ,EWZ,EZU,FAS,FAZ,FXI,GDX,GDXJ,IEFA,IEMG,IJR,ITB,IVV,IWM,KRE,PSQ,QID,SDOW,SDS,SH,SPXL,SPXS,SPXU,SPY,SRTY,TECS,TNA,TZA,UPRO,USMV,VEA,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XOP,XRT
2018-01-24,116900,7106400,63963100,24383800,4705300,6095700,10669700,46043500,5059000,2674600,515500,21686400,53467100,16125600,5710900,9304300,4232500,2198400,5149700,20340900,5978800,1532800,1883900,749600,7496200,4304200,3648000,3895900,3327800,134816100,667300,10300,4227400,2531300,7908000,1667000,11007800,15625500,5744200,12919700,66371000,9660000,18509500,16603500,19531400,8291100,4527900,3190800
2018-01-25,183400,5918900,61533700,23272500,4277300,5340700,10896400,26026200,5994300,1940100,295900,19170800,61745600,27161400,5979900,8603200,5933700,4007700,4014600,20290900,4764700,913400,1026800,659000,5060200,2538500,3116800,3091200,2608400,84587300,624900,3700,3566300,1805900,5511600,1758300,14271300,15871800,7768300,11718400,45423700,12499200,12975900,12144600,26285000,6339300,4281900,3672000
2018-01-26,170000,3861700,80566200,19192600,2013100,4605800,8646500,28682400,6663300,1921500,179000,22540100,31439500,7238100,6159600,7486900,2244400,2808600,3379600,16120300,3611700,546900,634800,361400,4483900,1572700,2219800,2664200,1904100,107743100,334100,3800,2480200,1046200,6879900,1723300,7027900,11067100,3881300,7785300,33871900,8008300,10048600,6342700,23950000,9784400,1641700,3055100
2018-01-29,231500,4605600,58884200,26906700,3827800,6209000,9351700,14295200,5436400,2605800,235800,21337700,59676000,19944700,4891600,17281500,2585000,7224000,4896200,18293300,3617900,1193000,826000,518300,6330600,3168900,3100200,4217700,3211500,90118300,714400,5500,3129700,2018900,6244200,1630800,9953000,16983900,5331100,12647200,41037700,12870300,27589900,10760800,18060900,12643800,4309400,2664200
2018-01-30,264900,9409500,87601400,113986300,6804300,5216400,11122600,14414000,6138700,2333200,439600,22685800,37702200,14943900,95742200,13953300,5380400,6194900,7424400,24533800,5125300,1644900,1342300,919600,9252300,5881500,5671000,5822400,3341800,131796400,1096600,12500,3740300,2377100,8032500,1800400,11411900,18372200,8817500,22751800,67316900,16742400,14831200,10898100,13089100,14270600,9661600,6831400
2018-01-31,214200,5360500,96654200,38465500,5330200,5527300,10079700,21155300,12010600,1474100,279400,19683000,46410300,19626200,10615900,14212100,2377200,5912700,6991100,27468900,3371700,1005700,906000,617300,8125500,2724100,4027500,5521600,2572100,108364800,608200,9500,3348600,1896100,6547500,1704500,13972600,23959200,9912600,15725300,49504500,15988100,15067900,13757000,27411400,15858400,5787300,7281800
2018-02-01,196400,5182000,72143800,30876200,4407800,6116800,9062100,15779800,8746200,1623200,314600,20077800,33277700,9900800,7161900,18531400,3152200,4730600,4554900,21413000,6208200,968600,1087500,695100,6026000,3275100,4293000,4681100,3209800,90102500,888600,9200,3069000,2006400,5818500,10346400,10588800,28080700,9486100,18011600,60824200,14169300,16325000,14094500,28519600,12848700,4445500,4918300
2018-02-02,209800,9486600,116832800,36590600,5425000,6537400,9307800,24978200,7424500,3301800,782300,31571700,75765500,25322200,7048900,15979500,5615200,5617700,6854100,33314100,11773200,3293600,1609900,1304100,13981000,8707500,7028200,6864800,4525800,173174800,1850100,19900,5443500,3404600,10540500,2584000,12300600,24335900,9674700,31005400,73086000,17929500,21964700,15569100,21806400,10539200,9292100,7860100
2018-02-05,449600,19888200,151202100,78968000,11688200,11838100,26956300,28146700,18653900,4994800,1715900,59647100,53158400,11099900,13071100,16766900,5411200,7398700,14707500,52622200,11946400,6586500,5045800,3965900,22223500,22854600,13353200,13837800,9026600,294681800,1323200,42800,6739800,5422700,19445100,6267200,24899300,31099600,18570700,34767600,147871500,30309100,49279800,39487500,33472300,34979800,7038500,9917700
2018-02-06,268100,20493100,183650300,84302300,22821400,17579400,38659100,31118700,18564500,5040400,1589900,75745400,68463900,20453500,23770400,27082300,7559000,6299900,16088400,69232400,15091600,8754700,4483900,3318400,17415700,22058800,13332300,10401600,8862500,355026800,1451100,40900,6594900,5650300,13841400,7971900,36830300,55111300,19340300,32815200,159006400,31980600,45134700,38881700,41671600,33313400,5676900,8535200
2018-02-07,334600,12657100,156301200,44411300,5111100,8900200,15371500,28692600,11182700,3210700,793700,52692900,51539100,14649600,8144800,25078600,3627200,5159500,9319000,37101000,6312500,2643500,2428900,2786600,13611700,12214400,9536600,8402700,7489800,167376100,945200,17500,4023700,2685900,10406700,6274600,13805700,24815200,16751000,24603700,102699400,22666800,23712600,17526900,27880200,17338000,7145800,5951400
